year,time_code,country,country_code,co2_emissions,epr_female,epr_male,income_pc,population,pupils_pri_educ,pupils_sec_educ,region
1994,YR1994,Argentina,ARG,3.558099412,41.54199982,67.55699921,6793.724836,35758979,4648335,2935830,South America
1994,YR1994,Peru,PER,0.976425249,44.01800156,73.22200012,1677.386015,34402672,5180713,2307821,South America
1994,YR1994,"Venezuela, RB",VEN,6.052085844,41.82500076,73.11299896,2323.513904,23851408,4031359,1833783,South America
1994,YR1994,Australia,AUS,15.57658628,47.74200058,66.41699982,14380.85213,21474549,,,Oceania
1994,YR1994,Papua New Guinea,PNG,0.430716742,67.89099884,69.08399963,729.3420655,17855000,1639577,2003504,Oceania
1994,YR1994,New Zealand,NZL,7.370467403,50.1609993,67.00099945,11971.31407,5065661,505153,83252,Oceania
1994,YR1994,Fiji,FJI,0.977088827,37.56399918,76.75299835,2016.428337,3620000,331666,404563,Oceania
1994,YR1994,Solomon Islands,SLB,0.398950988,79.52799988,82.00099945,694.5802343,765609,121290,,Oceania
1994,YR1994,Russian Federation,RUS,11.44953608,49.90200043,65.55000305,1353.3008,349281,60493,7811,Europe
1994,YR1994,Germany,DEU,10.62839192,42.93899918,64.81500244,22729.07552,148336000,7738000,14166000,Europe
1994,YR1994,Turkey,TUR,2.72475914,28.55500031,71.39900208,1852.43685,57564204,6526356,4476086,Europe
1994,YR1994,France,FRA,5.699231509,40.45800018,56.44599915,20086.53573,59327192,4078370,5983059,Europe
1994,YR1994,United Kingdom,GBR,9.448399895,48.01900101,62.79299927,17532.90361,81438348,3639717,8070103,Europe
1995,YR1995,Nigeria,NGA,0.332022333,53.2480011,63.29499817,319.0091404,107948335,15741078,,Africa
1995,YR1995,Ethiopia,ETH,0.044931236,64.84600067,87.3030014,93.73361007,57047908,2722192,756249,Africa
1995,YR1995,"Egypt, Arab Rep.",EGY,1.535651744,16.00799942,66.97299957,843.7765698,62334034,7313038,6147263,Africa
1995,YR1995,"Congo, Dem. Rep.",COD,0.051067468,68.99199677,69.52300262,97.84609088,41576234,5417506,1514323,Africa
1995,YR1995,South Africa,ZAF,8.742672525,27.42000008,51.59400177,3114.288658,41435758,8159430,,Africa
